1622938320000,2617.30000000,2618.00000000,2614.00000000,2614.93000000,398.56397000,1622938379999,1042672.45280520,866,141.46330000,370081.77564030,0
1622938380000,2614.93000000,2617.75000000,2614.70000000,2614.81000000,233.13645000,1622938439999,609955.15176150,856,139.55909000,365116.64243130,0
1622938440000,2614.81000000,2617.36000000,2614.00000000,2614.00000000,262.99284000,1622938499999,687824.66543780,723,117.77838000,308039.08598790,0
1622938500000,2614.00000000,2618.24000000,2614.00000000,2616.49000000,270.54490000,1622938559999,707739.16583540,981,119.34736000,312281.97081420,0
1622938560000,2616.40000000,2621.76000000,2614.33000000,2621.59000000,610.98672000,1622938619999,1599824.98536560,843,442.30953000,1158234.84487570,0
1622938620000,2621.59000000,2630.00000000,2621.44000000,2626.53000000,508.95067000,1622938679999,1336741.27534100,1433,183.42317000,481686.79401280,0
1622938680000,2626.43000000,2627.99000000,2622.05000000,2623.53000000,396.18832000,1622938739999,1040001.99082540,674,151.40700000,397491.02290110,0
1622938740000,2623.55000000,2626.58000000,2621.60000000,2621.60000000,230.86327000,1622938799999,605785.29613140,1015,78.74479000,206625.49976800,0
1622938800000,2621.54000000,2623.81000000,2620.00000000,2622.36000000,325.23401000,1622938859999,852648.75137100,808,103.26648000,270742.44852940,0
1622938860000,2622.85000000,2622.85000000,2618.46000000,2618.95000000,225.85640000,1622938919999,591955.69941300,679,57.59736000,150955.33982010,0
1622938920000,2619.05000000,2620.86000000,2617.07000000,2618.27000000,149.69477000,1622938979999,391999.14826130,604,45.31442000,118660.89520780,0
1622938980000,2618.24000000,2623.14000000,2618.00000000,2620.21000000,347.82056000,1622939039999,911580.89620480,1295,170.50533000,446732.91886780,0
1622939040000,2620.26000000,2621.88000000,2618.00000000,2618.74000000,231.02203000,1622939099999,605101.66822830,755,96.44675000,252614.76790030,0
1622939100000,2618.75000000,2622.74000000,2618.50000000,2622.20000000,221.15921000,1622939159999,579721.34998000,601,90.99675000,238521.35738190,0
1622939160000,2622.20000000,2634.56000000,2622.05000000,2632.00000000,660.46245000,1622939219999,1736239.54381400,1390,322.54900000,847769.21879560,0
1622939220000,2632.01000000,2632.01000000,2626.96000000,2629.76000000,447.33952000,1622939279999,1176208.26743460,1034,258.55661000,679856.22333320,0
1622939280000,2630.17000000,2637.40000000,2626.00000000,2637.00000000,607.43911000,1622939339999,1598849.10804430,1077,326.53988000,859399.11833530,0
1622939340000,2637.00000000,2637.68000000,2631.73000000,2634.27000000,529.47339000,1622939399999,1395195.36382130,1460,192.11135000,506042.77744570,0
1622939400000,2634.61000000,2634.61000000,2628.43000000,2630.81000000,571.69967000,1622939459999,1503727.45470190,809,198.12813000,521169.46801550,0
1622939460000,2630.79000000,2630.80000000,2628.23000000,2628.32000000,237.77632000,1622939519999,625218.15034860,799,53.79287000,141459.40147150,0
1622939520000,2628.31000000,2630.79000000,2626.38000000,2626.38000000,195.89584000,1622939579999,515026.72683160,664,88.98912000,233966.22368360,0
1622939580000,2626.35000000,2631.65000000,2626.21000000,2630.66000000,238.20134000,1622939639999,626280.92432390,674,122.00504000,320777.85412820,0
1622939640000,2630.66000000,2632.36000000,2628.48000000,2631.98000000,126.96514000,1622939699999,333971.51021950,511,61.86785000,162755.55238270,0
1622939700000,2631.99000000,2632.56000000,2629.13000000,2630.15000000,306.84307000,1622939759999,807153.81001160,1198,107.48934000,282767.50163620,0
1622939760000,2630.02000000,2630.62000000,2627.50000000,2629.85000000,210.14567000,1622939819999,552465.21588980,593,95.16471000,250198.90776790,0
1622939820000,2629.84000000,2633.61000000,2628.86000000,2631.46000000,223.95713000,1622939879999,589276.31508930,705,114.20743000,300466.87120980,0
1622939880000,2631.41000000,2632.33000000,2629.32000000,2629.38000000,181.60521000,1622939939999,477756.74127010,570,62.72902000,165023.67996270,0
1622939940000,2629.41000000,2637.52000000,2629.38000000,2636.18000000,494.84502000,1622939999999,1303889.91081740,1408,219.79367000,579019.04875310,0
1622940000000,2636.16000000,2636.16000000,2630.00000000,2631.56000000,303.96661000,1622940059999,800414.67737290,614,127.05043000,334471.28212970,0
1622940060000,2631.43000000,2633.50000000,2629.51000000,2631.85000000,270.97531000,1622940119999,712965.55768380,938,199.47317000,524826.93862030,0
